customer_id,name,email,region
1,John Garcia,ucooper@yahoo.com,North America
2,Brittany Stanley,hurstsydney@lopez.com,North America
3,Nicholas Jones,brian81@oconnell.com,Asia
4,Michael Buchanan,dunnandrea@gmail.com,Europe
5,Aaron Perkins,williamsgary@hotmail.com,Europe
6,Joyce Newman,williammcbride@hotmail.com,Europe
7,Jacob Wang,jasonjenkins@smith-martin.com,North America
8,George Allen,jacob37@hotmail.com,North America
9,Brett White,taylorkristin@yahoo.com,South America
10,Christine Salazar,whitelisa@walker.com,North America
11,Dan Gibson,bairdgary@brown.net,North America
12,Joseph Davenport,ureed@yahoo.com,North America
13,Bruce Reyes,brian41@hotmail.com,Europe
14,Christopher Miller,grant04@yahoo.com,Europe
15,Cody Johnson,shawlynn@norton.com,North America
16,Sharon Mcdonald,matthew34@adams-mckee.biz,Europe
17,Barbara Lang,jenniferford@lester.info,South America
18,Peter Hansen,andrewskayla@gmail.com,Europe
19,Yesenia Brown,mortiz@yahoo.com,South America
20,Timothy Swanson,nathanmeyer@gmail.com,Asia
21,Denise Moore,amanda17@gmail.com,North America
22,Jesse Kirby,vgriffin@gmail.com,Europe
23,Christie Johnson,williamsjohn@gmail.com,South America
24,Alice Russell,crystalsmith@allen.com,Asia
25,Amy Lucero,patrickbuckley@zuniga.com,Asia
26,Danielle Mercado,zthompson@hotmail.com,Europe
27,Breanna Mcdaniel,alan88@graham.com,Europe
28,Joshua Campbell,joshuaclark@watkins.com,Asia
29,Jon Garcia,vstewart@ramirez.org,North America
30,Veronica Robles,prattkayla@bennett-brennan.com,North America
31,Stacie Blake,carlos01@hotmail.com,South America
32,Thomas Webster,tammywhite@hotmail.com,North America
33,Benjamin Wall,amanda17@cox.org,Asia
34,Sandra Hernandez,gbooth@knight-johnson.com,Asia
35,Brandon Bell,lynn47@hotmail.com,Asia
36,Mike Jordan,rclark@gmail.com,North America
37,James Garner,michealwhite@olsen.com,South America
38,Ryan Bowen,cochrankelli@anderson.com,North America
